indicator,indicator_name
ais_type,AIS device type
average_daily_fishing_hours,Average daily fishing hours
crew_size,Crew size
distance_traveled_km,Distance traveled (km)
encounters,Number of suspected transshipment events
engine_power_kw,Vessel engine power (kw)
fishing_hours,Fishing hours
fishing_hours_foreign_eez,Fishing hours in foreign EEZs
fishing_hours_high_seas,Fishing hours in high seas
foc,Flies flag of convenience
foreign_port_visits,Number of foreign port visits
gaps_12_hours,Number of AIS gaps greater than 12 hours
gaps_24_hours,Number of AIS gaps greater than 24 hours
hours,Hours at sea
iuu,Vessel on official IUU fishing list
length_m,Vessel length (m)
max_distance_from_port_km,Maximum distance from port (km)
max_distance_from_shore_km,Maximum distance from shore (km)
number_forced_labor_encounters,Number of suspected transshipment events with forced labor vessels
number_poc_port_visits,Number of visits to ports of convenience
number_port_visits,Number of port visits
tonnage_gt,Vessel tonnage (gt)
number_encounters,Number of suspected transshipment events with other vessels
positions,Number of AIS position messages
number_iuu_encounters,Number of suspected transshipment events with IUU vessels
number_foreign_port_visits,Number of foreign port visits
number_voyages,Number of voyages
average_encounter_duration_hours,Average suspected transshipment event duration (hours)
average_voyage_duration_hours,Average voyage duration (hours)
average_loitering_duration_hours,Average loitering duration (hours)
number_loitering_events,Number of loitering events